,YEAR,DISPOSITION_CHARGED_CLASS,MUNICIPALI,CASE_ID
0,2015,1,Alsip,410
1,2015,1,Arlington Heights,164
2,2015,1,Bartlett,26
3,2015,1,Bedford Park,17
4,2015,1,Bellwood,48
5,2015,1,Berkeley,6
6,2015,1,Berwyn,88
7,2015,1,Blue Island,543
8,2015,1,Bridgeview,29
9,2015,1,Broadview,30
10,2015,1,Brookfield,31
11,2015,1,Buffalo Grove,12
12,2015,1,Burbank,56
13,2015,1,Burnham,5
14,2015,1,Burr Ridge,4
15,2015,1,Calumet City,185
16,2015,1,Calumet Park,466
17,2015,1,Chicago,30935
18,2015,1,Chicago Heights,153
19,2015,1,Chicago Hts,1
20,2015,1,Chicago Ridge,39
21,2015,1,Cicero,471
22,2015,1,Country Club Hills,147
23,2015,1,Countryside,12
24,2015,1,Crestwood,12
25,2015,1,Des Plaines,598
26,2015,1,Dixmoor,1
27,2015,1,Dolton,482
28,2015,1,East Hazel Crest,1
29,2015,1,Elgin,70
30,2015,1,Elk Grove Village,27
31,2015,1,Elmhurst,4
32,2015,1,Elmwood Park,50
33,2015,1,Evanston,1376
34,2015,1,Evergreen Park,32
35,2015,1,Ford Heights,34
36,2015,1,Forest Park,54
37,2015,1,Forestview,2
38,2015,1,Franklin Park,155
39,2015,1,Glencoe,11
40,2015,1,Glenview,145
41,2015,1,Glenwood,24
42,2015,1,Halstead,8
43,2015,1,Hanover Park,16
44,2015,1,Harvey,444
45,2015,1,Harwood Heights,3
46,2015,1,Hazel Crest,47
47,2015,1,Hillside,9
48,2015,1,Hodgkins,7
49,2015,1,Hoffman Est,3
50,2015,1,Hoffman Estates,94
51,2015,1,Homewood,182
52,2015,1,Ind Head Park,6
53,2015,1,Indian Head Park,6
54,2015,1,Inverness,2
55,2015,1,Justice,7
56,2015,1,La Grange,4
57,2015,1,La Grange Park,9
58,2015,1,Lansing,94
59,2015,1,Lemont,1452
60,2015,1,Lincolnwood,25
61,2015,1,Lynwood,15
62,2015,1,Lyons,8
63,2015,1,Markham,895
64,2015,1,Matteson,299
65,2015,1,Maywood,225
66,2015,1,Melrose Park,144
67,2015,1,Merrionette Park,1
68,2015,1,Midlothian,72
69,2015,1,Morton Grove,57
70,2015,1,Mount Prospect,67
71,2015,1,Mt Prospect,4
72,2015,1,Niles,34
73,2015,1,Norridge,11
74,2015,1,North Riverside,4
75,2015,1,Northbrook,105
76,2015,1,Northlake,15
77,2015,1,Oak Forest,155
78,2015,1,Oak Lawn,52
79,2015,1,Oak Park,61
80,2015,1,Olympia Fields,15
81,2015,1,Orland Hills,3
82,2015,1,Orland Park,63
83,2015,1,Palatine,92
84,2015,1,Palos Heights,80
85,2015,1,Palos Hills,17
86,2015,1,Palos Park,3
87,2015,1,Park Forest,89
88,2015,1,Park Ridge,7
89,2015,1,Phoenix,6
90,2015,1,Posen,41
91,2015,1,Prospect Heights,2
92,2015,1,Richton Park,9
93,2015,1,River Forest,188
94,2015,1,River Grove,16
95,2015,1,Riverdale,330
96,2015,1,Riverside,41
97,2015,1,Robbins,26
98,2015,1,Rolling Meadows,175
99,2015,1,Roselle,4
100,2015,1,Rosemont,74
101,2015,1,Sauk Village,119
102,2015,1,Schaumburg,22
103,2015,1,Schiller Park,12
104,2015,1,Skokie,109
105,2015,1,South Barrington,7
106,2015,1,South Holland,1704
107,2015,1,Steger,5
108,2015,1,Stickney,25
109,2015,1,Stone Park,5
110,2015,1,Streamwood,109
111,2015,1,Summit,100
112,2015,1,Tinley Park,67
113,2015,1,University Park,5
114,2015,1,Westchester,24
115,2015,1,Westmont,6
116,2015,1,Wheeling,85
117,2015,1,Wilmette,7
118,2015,1,Winnetka,27
119,2015,1,Worth,7
120,2015,2,Alsip,245
121,2015,2,Arlington Heights,255
122,2015,2,Barrington,15
123,2015,2,Bartlett,74
124,2015,2,Bedford Park,76
125,2015,2,Bellwood,261
126,2015,2,Berkeley,38
127,2015,2,Berwyn,363
128,2015,2,Blue Island,1121
129,2015,2,Bridgeview,30
130,2015,2,Broadview,164
131,2015,2,Brookfield,76
132,2015,2,Buffalo Grove,25
133,2015,2,Burbank,1904
134,2015,2,Burlington,9
135,2015,2,Burnham,602
136,2015,2,Calumet City,923
137,2015,2,Calumet Park,562
138,2015,2,Chicago,104636
139,2015,2,Chicago Heights,1094
140,2015,2,Chicago Ridge,35
141,2015,2,Cicero,907
142,2015,2,Country Club Hills,58
143,2015,2,Countryside,9
144,2015,2,Crestwood,44
145,2015,2,Deerfield,12
146,2015,2,Des Plaines,882
147,2015,2,Dolton,942
148,2015,2,East Hazel Crest,17
149,2015,2,Elgin,151
150,2015,2,Elk Grove Village,107
151,2015,2,Elmwood Park,271
152,2015,2,Evanston,385
153,2015,2,Evergreen Park,57
154,2015,2,Flossmoor,33
155,2015,2,Ford Heights,193
156,2015,2,Forest Park,344
157,2015,2,Forestview,22
158,2015,2,Franklin Park,238
159,2015,2,Glenview,495
160,2015,2,Glenwood,305
161,2015,2,Gurnee,14
162,2015,2,Halstead,4
163,2015,2,Hammond,1
164,2015,2,Hanover Park,148
165,2015,2,Harvey,850
166,2015,2,Harwood Heights,15
167,2015,2,Hazel Crest,112
168,2015,2,Hickory Hills,74
169,2015,2,Hillside,294
170,2015,2,Hines,2
171,2015,2,Hodgkins,65
172,2015,2,Hoffman Estates,204
173,2015,2,Hometown,18
174,2015,2,Homewood,218
175,2015,2,Inverness,4
176,2015,2,Justice,29
177,2015,2,Kenilworth,1
178,2015,2,La Grange,13
179,2015,2,La Grange Park,9
180,2015,2,Lansing,1029
181,2015,2,Lemont,278
182,2015,2,Lincolnwood,99
183,2015,2,Lynwood,59
184,2015,2,Lyons,88
185,2015,2,Markham,740
186,2015,2,Matteson,820
187,2015,2,Maywood,1231
188,2015,2,Mc Cook,13
189,2015,2,Melrose Park,508
190,2015,2,Merrionett Pk,2
191,2015,2,Midlothian,387
192,2015,2,Monee,1
193,2015,2,Morton Grove,20
194,2015,2,Mount Prospect,1279
195,2015,2,Mt Prospect,4
196,2015,2,New Lenox,4
197,2015,2,Niles,2081
198,2015,2,Norridge,61
199,2015,2,North Chicago,1
200,2015,2,North Riverside,85
201,2015,2,Northbrook,147
202,2015,2,Northfield,1
203,2015,2,Northlake,138
204,2015,2,Oak Forest,56
205,2015,2,Oak Lawn,278
206,2015,2,Oak Park,187
207,2015,2,Olympia Fields,49
208,2015,2,Orland Hills,1
209,2015,2,Orland Park,179
210,2015,2,Palatine,597
211,2015,2,Palos Heights,28
212,2015,2,Palos Hills,62
213,2015,2,Palos Park,10
214,2015,2,Park Forest,456
215,2015,2,Park Ridge,31
216,2015,2,Phoenix,27
217,2015,2,Posen,60
218,2015,2,Prospect Heights,164
219,2015,2,Richton Park,92
220,2015,2,River Forest,112
221,2015,2,River Grove,12
222,2015,2,Riverdale,555
223,2015,2,Riverside,69
224,2015,2,Robbins,150
225,2015,2,Rolling Meadows,152
226,2015,2,Roselle,11
227,2015,2,Rosemont,327
228,2015,2,S Chicago Heights,17
229,2015,2,Sauk Village,200
230,2015,2,Schaumburg,133
231,2015,2,Schiller Park,234
232,2015,2,Skokie,433
233,2015,2,South Barrington,29
234,2015,2,South Chicago Heights,9
235,2015,2,South Holland,2489
236,2015,2,Steger,5
237,2015,2,Stickney,11
238,2015,2,Stone Park,90
239,2015,2,Streamwood,470
240,2015,2,Summit,137
241,2015,2,Thornton,1
242,2015,2,Tinley Park,475
243,2015,2,University Park,5
244,2015,2,Westchester,57
245,2015,2,Western Sprgs,7
246,2015,2,Western Springs,9
247,2015,2,Wheeling,240
248,2015,2,Willow Springs,33
249,2015,2,Wilmette,39
250,2015,2,Winnetka,9
251,2015,2,Worth,20
252,2015,3,Addison,1
253,2015,3,Alsip,88
254,2015,3,Arlington Heights,302
255,2015,3,Barrington,4
256,2015,3,Barrington Hills,1
257,2015,3,Bartlett,59
258,2015,3,Bedford Park,250
259,2015,3,Bellwood,139
260,2015,3,Berkeley,25
261,2015,3,Berwyn,341
262,2015,3,Blue Island,577
263,2015,3,Bluff Springs,25
264,2015,3,Bridgeview,41
265,2015,3,Broadview,86
266,2015,3,Brookfield,86
267,2015,3,Buffalo Grove,33
268,2015,3,Burbank,723
269,2015,3,Burnham,93
270,2015,3,Burr Ridge,1
271,2015,3,Calumet City,1479
272,2015,3,Calumet Park,353
273,2015,3,Chicago,51297
274,2015,3,Chicago Heights,608
275,2015,3,Chicago Ridge,52
276,2015,3,Cicero,737
277,2015,3,Country Club Hills,1607
278,2015,3,Countryside,9
279,2015,3,Crestwood,85
280,2015,3,Deerfield,100
281,2015,3,Des Plaines,405
282,2015,3,Dixmoor,16
283,2015,3,Dolton,475
284,2015,3,East Hazel Crest,2
285,2015,3,Elgin,161
286,2015,3,Elk Grove Village,70
287,2015,3,Elmhurst,4
288,2015,3,Elmwood Park,192
289,2015,3,Evanston,271
290,2015,3,Evergreen Park,91
291,2015,3,Ewing,1
292,2015,3,Flossmoor,375
293,2015,3,Ford Heights,130
294,2015,3,Forest Park,371
295,2015,3,Franklin Park,154
296,2015,3,Glencoe,20
297,2015,3,Glenview,1134
298,2015,3,Glenwood,390
299,2015,3,Gurnee,35
300,2015,3,Hanover Park,99
301,2015,3,Harvey,1063
302,2015,3,Harwood Heights,116
303,2015,3,Hazel Crest,349
304,2015,3,Hickory Hills,33
305,2015,3,Hillside,81
306,2015,3,Hines,1
307,2015,3,Hodgkins,184
308,2015,3,Hoffman Estates,371
309,2015,3,Hometown,2
310,2015,3,Homewood,1444
311,2015,3,Ind Head Park,3
312,2015,3,Indian Head Park,3
313,2015,3,Inverness,14
314,2015,3,Justice,24
315,2015,3,La Grange,6
316,2015,3,La Grange Park,121
317,2015,3,Lansing,3041
318,2015,3,Lemont,24
319,2015,3,Lincolnwood,74
320,2015,3,Lynwood,121
321,2015,3,Lyons,13
322,2015,3,Markham,1140
323,2015,3,Matteson,1355
324,2015,3,Maywood,514
325,2015,3,Mc Cook,15
326,2015,3,Melrose Park,749
327,2015,3,Merrionett Pk,2
328,2015,3,Merrionette Park,1
329,2015,3,Midlothian,457
330,2015,3,Morton Grove,126
331,2015,3,Mount Prospect,442
332,2015,3,Niles,3330
333,2015,3,Norridge,47
334,2015,3,North Riverside,46
335,2015,3,Northbrook,1184
336,2015,3,Northfield,1
337,2015,3,Northlake,397
338,2015,3,Oak Forest,46
339,2015,3,Oak Lawn,235
340,2015,3,Oak Park,142
341,2015,3,Olympia Fields,27
342,2015,3,Orland Hills,26
343,2015,3,Orland Park,311
344,2015,3,Palatine,142
345,2015,3,Palos Heights,288
346,2015,3,Palos Hills,14
347,2015,3,Palos Park,14
348,2015,3,Park Forest,269
349,2015,3,Park Ridge,88
350,2015,3,Phoenix,12
351,2015,3,Pinckneyville,5
352,2015,3,Posen,5
353,2015,3,Prospect Heights,70
354,2015,3,Prospect Hts,9
355,2015,3,Richton Park,29
356,2015,3,River Forest,390
357,2015,3,River Grove,41
358,2015,3,Riverdale,128
359,2015,3,Riverside,41
360,2015,3,Robbins,154
361,2015,3,Rolling Meadows,50
362,2015,3,Roselle,13
363,2015,3,Rosemont,208
364,2015,3,S Chicago Heights,8
365,2015,3,Sauk Village,88
366,2015,3,Schaumburg,247
367,2015,3,Schiller Park,77
368,2015,3,Skokie,422
369,2015,3,South Barrington,33
370,2015,3,South Holland,895
371,2015,3,Steger,1
372,2015,3,Stickney,56
373,2015,3,Stone Park,2
374,2015,3,Streamwood,508
375,2015,3,Summit,1418
376,2015,3,Thornton,2
377,2015,3,Tinley Park,182
378,2015,3,Westchester,94
379,2015,3,Western Sprgs,28
380,2015,3,Western Springs,60
381,2015,3,Westmont,30
382,2015,3,Wheeling,256
383,2015,3,Willow Springs,11
384,2015,3,Wilmette,43
385,2015,3,Winnetka,92
386,2015,3,Worth,29
387,2015,4,Alsip,300
388,2015,4,Arlington Heights,378
389,2015,4,Arlington Hts,16
390,2015,4,Barrington,17
391,2015,4,Barrington Hills,10
392,2015,4,Bartlett,51
393,2015,4,Bedford Park,61
394,2015,4,Bellwood,363
395,2015,4,Berkeley,63
396,2015,4,Berwyn,667
397,2015,4,Blue Island,630
398,2015,4,Bridgeview,128
399,2015,4,Broadview,131
400,2015,4,Brookfield,71
401,2015,4,Buffalo Grove,103
402,2015,4,Burbank,261
403,2015,4,Burnham,466
404,2015,4,Burr Ridge,28
405,2015,4,Calumet City,1272
406,2015,4,Calumet Park,373
407,2015,4,Cary,1
408,2015,4,Chicago,120246
409,2015,4,Chicago Heights,1452
410,2015,4,Chicago Hts,85
411,2015,4,Chicago Ridge,87
412,2015,4,Cicero,2343
413,2015,4,Cntry Clb Hls,1
414,2015,4,Country Club Hills,2580
415,2015,4,Countryside,18
416,2015,4,Crestwood,99
417,2015,4,Deerfield,67
418,2015,4,Des Plaines,675
419,2015,4,Dixmoor,2
420,2015,4,Dolton,701
421,2015,4,East Hazel Crest,43
422,2015,4,Elgin,231
423,2015,4,Elk Grove Village,203
424,2015,4,Elmhurst,1
425,2015,4,Elmwood Park,207
426,2015,4,Evanston,1012
427,2015,4,Evergreen Park,201
428,2015,4,Evergreen Pk,4
429,2015,4,Fairbury,1
430,2015,4,Florissant,1
431,2015,4,Flossmoor,212
432,2015,4,Ford Heights,133
433,2015,4,Forest Park,387
434,2015,4,Franklin Park,215
435,2015,4,Glencoe,88
436,2015,4,Glenview,176
437,2015,4,Glenwood,134
438,2015,4,Hammond,25
439,2015,4,Hanover Park,326
440,2015,4,Harvey,2322
441,2015,4,Harwood Heights,243
442,2015,4,Harwood Hts,2
443,2015,4,Hazel Crest,134
444,2015,4,Hickory Hills,210
445,2015,4,Hillside,183
446,2015,4,Hines,1
447,2015,4,Hodgkins,140
448,2015,4,Hoffman Est,6
449,2015,4,Hoffman Estates,390
450,2015,4,Hometown,19
451,2015,4,Homewood,281
452,2015,4,Justice,70
453,2015,4,La Grange,26
454,2015,4,La Grange Park,25
455,2015,4,Lansing,404
456,2015,4,Lemont,61
457,2015,4,Lincolnwood,153
458,2015,4,Lynwood,157
459,2015,4,Lyons,68
460,2015,4,Markham,789
461,2015,4,Marseilles,4
462,2015,4,Matteson,834
463,2015,4,Maywood,580
464,2015,4,Mc Cook,8
465,2015,4,Melrose Park,657
466,2015,4,Merrionett Pk,1
467,2015,4,Merrionette Park,1
468,2015,4,Midlothian,131
469,2015,4,Morton Grove,70
470,2015,4,Mount Prospect,317
471,2015,4,Mt Prospect,6
